country,form,alpha,log10_alpha,fold,train_start,train_end,val_start,val_end,n_train,n_val,train_mse,val_mse
UK,primary,0.31622776601683794,-0.5,1,2002-02-01,2008-04-01,2008-05-01,2011-03-01,75,35,0.008691638691948321,0.2321016855880336
UK,primary,1.0,0.0,1,2002-02-01,2008-04-01,2008-05-01,2011-03-01,75,35,0.009455025345773867,0.37606271309656786
UK,primary,3.1622776601683795,0.5,1,2002-02-01,2008-04-01,2008-05-01,2011-03-01,75,35,0.010944028582391692,0.36163561496176655
UK,primary,10.0,1.0,1,2002-02-01,2008-04-01,2008-05-01,2011-03-01,75,35,0.013138550791760599,0.2188185662310626
UK,primary,31.622776601683793,1.5,1,2002-02-01,2008-04-01,2008-05-01,2011-03-01,75,35,0.016909933111676954,0.12384789571374206
UK,primary,100.0,2.0,1,2002-02-01,2008-04-01,2008-05-01,2011-03-01,75,35,0.026417510063285368,0.095463048531749
UK,primary,316.22776601683796,2.5,1,2002-02-01,2008-04-01,2008-05-01,2011-03-01,75,35,0.04442725622739181,0.0888679986201587
UK,primary,1000.0,3.0,1,2002-02-01,2008-04-01,2008-05-01,2011-03-01,75,35,0.062477784842407284,0.08748182081227192
UK,primary,0.001,-3.0,2,2002-02-01,2011-03-01,2011-04-01,2014-02-01,110,35,0.014241836505421896,0.10822040551318508
UK,primary,0.0031622776601683794,-2.5,2,2002-02-01,2011-03-01,2011-04-01,2014-02-01,110,35,0.014275699633049956,0.10570443999919496
UK,primary,0.01,-2.0,2,2002-02-01,2011-03-01,2011-04-01,2014-02-01,110,35,0.01440636657468652,0.10111106476929511
UK,primary,0.03162277660168379,-1.5,2,2002-02-01,2011-03-01,2011-04-01,2014-02-01,110,35,0.014704697631228772,0.09486341821581225
UK,primary,0.1,-1.0,2,2002-02-01,2011-03-01,2011-04-01,2014-02-01,110,35,0.015136192487768266,0.08438697294499418
UK,primary,0.31622776601683794,-0.5,2,2002-02-01,2011-03-01,2011-04-01,2014-02-01,110,35,0.015837713742687567,0.06983185447195003
UK,primary,1.0,0.0,2,2002-02-01,2011-03-01,2011-04-01,2014-02-01,110,35,0.016915385375702818,0.060116468467491774
UK,primary,3.1622776601683795,0.5,2,2002-02-01,2011-03-01,2011-04-01,2014-02-01,110,35,0.0181177566608874,0.05382696342872986
UK,primary,10.0,1.0,2,2002-02-01,2011-03-01,2011-04-01,2014-02-01,110,35,0.019745787635648156,0.04857978338046609
UK,primary,31.622776601683793,1.5,2,2002-02-01,2011-03-01,2011-04-01,2014-02-01,110,35,0.023182492853270235,0.046003263959961335
UK,primary,100.0,2.0,2,2002-02-01,2011-03-01,2011-04-01,2014-02-01,110,35,0.0317567916137259,0.04823685274293472
UK,primary,316.22776601683796,2.5,2,2002-02-01,2011-03-01,2011-04-01,2014-02-01,110,35,0.048066968182058335,0.0576760911752822
UK,primary,1000.0,3.0,2,2002-02-01,2011-03-01,2011-04-01,2014-02-01,110,35,0.06569081724314431,0.06938621523185458
UK,primary,0.001,-3.0,3,2002-02-01,2014-02-01,2014-03-01,2017-01-01,145,35,0.019618677757184327,0.15992851665605382
