country,origin_date,horizon,target_date,variable,forecast,actual,error
GERMANY,2021-12-01,6,2022-06-01,GDP,4.677522668913431,8.041675,-3.3641523310865686
GERMANY,2021-12-01,6,2022-06-01,UNEMPLOYMENT,0.10073037613111006,0.0,0.10073037613111006
GERMANY,2021-12-01,6,2022-06-01,CPI,0.27561967875999654,0.0,0.27561967875999654
GERMANY,2021-12-01,6,2022-06-01,POLICY_RATE,-0.01595618458401381,0.0021169999999999245,-0.018073184584013736
GERMANY,2021-12-01,6,2022-06-01,M2,0.15208881895145387,-0.26331300000000013,0.415401818951454
GERMANY,2021-12-01,12,2022-12-01,GDP,-0.8730805171591172,7.2572,-8.130280517159118
GERMANY,2021-12-01,12,2022-12-01,UNEMPLOYMENT,0.10068775308536418,0.0,0.10068775308536418
GERMANY,2021-12-01,12,2022-12-01,CPI,0.8146510959183696,-0.5272000000000077,1.3418510959183774
GERMANY,2021-12-01,12,2022-12-01,POLICY_RATE,-0.1530713732885342,0.23734499999999992,-0.3904163732885341
GERMANY,2021-12-01,12,2022-12-01,M2,0.3890223514655976,-0.4813400000000003,0.8703623514655979
GERMANY,2022-01-01,1,2022-02-01,GDP,7.458267013782623,9.154834,-1.696566986217376
GERMANY,2022-01-01,1,2022-02-01,UNEMPLOYMENT,0.054644201594102146,-0.09999999999999964,0.1546442015941018
GERMANY,2022-01-01,1,2022-02-01,CPI,1.0556311084893064,0.8433999999999884,0.21223110848931803
GERMANY,2022-01-01,1,2022-02-01,POLICY_RATE,-0.07641797040215302,0.0031330000000000524,-0.07955097040215307
GERMANY,2022-01-01,1,2022-02-01,M2,-0.4777959645853342,-0.3231409999999997,-0.1546549645853345
GERMANY,2022-01-01,3,2022-04-01,GDP,3.3428083478014194,8.806494,-5.463685652198581
GERMANY,2022-01-01,3,2022-04-01,UNEMPLOYMENT,0.13679012749006894,-0.10000000000000009,0.23679012749006903
GERMANY,2022-01-01,3,2022-04-01,CPI,1.4527957463537189,0.7379999999999995,0.7147957463537193
GERMANY,2022-01-01,3,2022-04-01,POLICY_RATE,-0.06294202895661694,-0.006004000000000009,-0.056938028956616926
GERMANY,2022-01-01,3,2022-04-01,M2,1.5741151882445543,0.1756890000000002,1.3984261882445541
GERMANY,2022-01-01,6,2022-07-01,GDP,5.23837299245719,7.667958,-2.4295850075428094
GERMANY,2022-01-01,6,2022-07-01,UNEMPLOYMENT,0.04750576002117106,0.0,0.04750576002117106
GERMANY,2022-01-01,6,2022-07-01,CPI,0.46502961073559856,0.5270999999999901,-0.06207038926439157
GERMANY,2022-01-01,6,2022-07-01,POLICY_RATE,-0.06564996961357819,0.011560000000000015,-0.0772099696135782
GERMANY,2022-01-01,6,2022-07-01,M2,-0.06728709939436761,-0.22005600000000047,0.15276890060563286
